设置,选项名称,值
选手信息,nick,SENER1
选手信息,Name,Sener Mahmuti
选手信息,Birthday,"January 19, 1997"
选手信息,Country,Kosovo
选手信息,Team,Guild Esports
鼠标,model,Logitech G Pro X Superlight White
鼠标,DPI,400
鼠标,Sensitivity,2.35
鼠标,eDPI,940
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,5
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,1
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-2
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,None
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ M9 Bayonet | Lore (Field-Tested)', '★ Sport Gloves | Omega (Field-Tested)', 'AK-47 | Legion of Anubis (Factory New)', 'M4A1-S | Printstream (Field-Tested)', 'Glock-18 | Water Elemental (Factory New)', 'USP-S | Ticket to Hell (Field-Tested)', 'Desert Eagle | Printstream (Field-Tested)']"
外设,Monitor,Alienware AW2521H
外设,Mouse,Logitech G Pro X Superlight White
外设,Keyboard,Xtrfy K5 Compact RGB Transparent White
外设,Headset,Logitech G Pro X Headset
外设,Mousepad,SteelSeries QcK Heavy
